名字,阅读,帖子,粉丝
刘晓庆,7115.1万,4296,1292
李溪芮,10.6亿,2.5万,3.8万
姜妍,1.5亿,3019,3474
李冰冰,8.2亿,2506,1万
钟丽缇,3.6亿,3040,5280
张歆艺,4.8亿,9176,14.7万
苗苗,1亿,4439,2521
昆凌,18.2亿,5055,1.8万
陈都灵,6.2亿,3907,1.1万
刘嘉玲,5.3亿,6058,4593
贾玲,2.9亿,3669,5477
邓莎,5807.1万,1289,1803
朱茵,3亿,2920,7468
卢靖姗,4.2亿,1709,1.5万
宋妍霏,4.9亿,9333,3万
巩俐,4.1亿,2231,3375
王子文,35.6亿,3.3万,3万
陈意涵,9.4亿,1.4万,1.4万
沈梦辰,10.2亿,7410,5654
叶璇,2亿,1535,1096
辛芷蕾,2.9亿,3129,4524
张俪,2.6亿,5230,9.2万
闫妮,5.3亿,1.7万,9112
袁立,1.8亿,491,5892
赵奕欢,8436.9万,6083,3097
张嘉倪,2.3亿,6447,3586
李菲儿,8.1亿,1.6万,8689
杨丞琳,21.8亿,2万,1.3万
王鸥,18.8亿,3.8万,2.1万
徐璐,12.4亿,1.8万,12.9万
翁虹,7960.4万,3876,1989
秦岚,4.1亿,3584,4628
王珞丹,9.3亿,2.2万,2万
郑合惠子,5亿,1.2万,3.1万
李兰迪,6.1亿,1.2万,2万
蒋依依,2.1亿,1.2万,1.3万
白鹿,4.8亿,9358,5万
江一燕,3.7亿,4069,1.5万
朱丹,1.9亿,7795,4217
周迅,12.4亿,4591,6804
马丽,2.4亿,4312,2835
赵韩樱子,1.3亿,1.6万,6166
杨子姗,3.2亿,5919,3706
李金铭,7469.7万,3367,2601
郭采洁,5.6亿,9941,6999
尚语贤,3901万,1.1万,7141
徐静蕾,3.4亿,844,6286
蓝盈莹,6.5亿,5764,3.4万
宋丹丹,2.2亿,282,981
钟楚曦,2.1亿,6788,6145
南笙,1.9亿,4506,3375
宁静,4.1亿,7938,13.7万
白冰,4008.9万,1770,1700
许龄月,2.1亿,1.8万,1.3万
杜鹃,10.6亿,2946,4万
李凯馨,2002.9万,455,1182
张曼玉,3.4亿,1422,4471
熊黛林,1.6亿,275,856
梅婷,9801.3万,1160,892
伊能静,3.8亿,1450,4031
宋轶,3.2亿,5553,7772
李成敏,1019万,159,1380
刘承羽,576.8万,31,246
